Year,Month,BrCode,BrName,Zone,PrCode,PrName,Qty,SaleAmount (ExVat)
2022,12,1049,LUNGSUAN,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1000,SUKHUMVIT 33,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1006,PLOENCHIT,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1012,GRANDCANAL,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1014,AREE,City,0253349,KOON แป้งนวล 200G,3.,165.45
2022,12,1021,PHUKET,Provincial,0253349,KOON แป้งนวล 200G,3.,165.45
2022,12,1023,PARADISE,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1024,SAMMAKORN,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1026,SENA,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2022,12,1030,K-VILLAGE,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1032,LAGUNA PHUKET,Provincial,0253349,KOON แป้งนวล 200G,10.,551.45
2022,12,1034,PESEO-LAT,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2022,12,1036,RAMA3,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1038,PESEO KAN,Provincial,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1039,BOAT LAGOON,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1041,THE CIRCLE,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1044,BANGNA,Residential,0253349,KOON แป้งนวล 200G,4.,220.60
2022,12,1046,SUKHUMVIT 11,City,0253349,KOON แป้งนวล 200G,1.,55.15
2022,12,1047,LASALLE,City,0253349,KOON แป้งนวล 200G,2.,110.30
2022,12,1048,LITTLE WALK,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2022,12,1050,BUKIS PHUKET,Provincial,0253349,KOON แป้งนวล 200G,3.,165.43
2022,12,1000,SUKHUMVIT 33,City,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.51
2022,12,1003,NICHADA,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1005,SUKHUMVIT 49,City,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2022,12,1006,PLOENCHIT,City,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.52
2022,12,1012,GRANDCANAL,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,5.,369.19
2022,12,1014,AREE,City,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.36
2022,12,1016,HUAHIN,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1017,CHAENG WATTHANA,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2022,12,1019,RATCHAYOTHIN,City,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1020,RATCHAPRUEK,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2022,12,1021,PHUKET,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1024,SAMMAKORN,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1026,SENA,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.51
2022,12,1030,K-VILLAGE,City,0253351,KOON แป้งวาราบิโมจิ 200G,5.,369.16
2022,12,1032,LAGUNA PHUKET,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2022,12,1034,PESEO-LAT,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1038,PESEO KAN,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1039,BOAT LAGOON,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2022,12,1040,INDEX HUAHIN,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.50
2022,12,1042,UD TOWN UDON,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.35
2022,12,1044,BANGNA,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.35
2022,12,1047,LASALLE,City,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.36
2022,12,1048,LITTLE WALK,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,6.,443.03
2022,12,1049,LUNGSUAN,City,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.34
2022,12,1050,BUKIS PHUKET,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2023,1,1000,SUKHUMVIT 33,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2023,1,1003,NICHADA,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1005,SUKHUMVIT 49,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1006,PLOENCHIT,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1011,THONGLOR,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,3.,726.18
2023,1,1020,RATCHAPRUEK,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1022,KASET-NAWAMIN,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1024,SAMMAKORN,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2023,1,1030,K-VILLAGE,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,4.,968.24
2023,1,1033,PESEO-RAM,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1034,PESEO-LAT,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1036,RAMA3,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1038,PESEO KAN,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,3.,726.18
2023,1,1040,INDEX HUAHIN,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1041,THE CIRCLE,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,4.,968.24
2023,1,1042,UD TOWN UDON,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1044,BANGNA,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1046,SUKHUMVIT 11,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2023,1,1047,LASALLE,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2023,1,1048,LITTLE WALK,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,4.,968.24
2023,1,1051,CHIC REPUBLIC,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2023,1,1000,SUKHUMVIT 33,City,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1003,NICHADA,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1006,PLOENCHIT,City,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1012,GRANDCANAL,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1014,AREE,City,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1021,PHUKET,Provincial,0253349,KOON แป้งนวล 200G,4.,220.59
2023,1,1023,PARADISE,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1024,SAMMAKORN,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1030,K-VILLAGE,City,0253349,KOON แป้งนวล 200G,3.,165.45
2023,1,1032,LAGUNA PHUKET,Provincial,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1038,PESEO KAN,Provincial,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1040,INDEX HUAHIN,Provincial,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1041,THE CIRCLE,Residential,0253349,KOON แป้งนวล 200G,2.,110.30
2023,1,1044,BANGNA,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1051,CHIC REPUBLIC,Residential,0253349,KOON แป้งนวล 200G,1.,55.15
2023,1,1003,NICHADA,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2023,1,1005,SUKHUMVIT 49,City,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.52
2023,1,1006,PLOENCHIT,City,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2023,1,1012,GRANDCANAL,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,5.,369.18
2023,1,1014,AREE,City,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2023,1,1020,RATCHAPRUEK,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
2023,1,1021,PHUKET,Provincial,0253351,KOON แป้งวาราบิโมจิ 200G,4.,295.36
2023,1,1022,KASET-NAWAMIN,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2023,1,1030,K-VILLAGE,City,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2023,1,1033,PESEO-RAM,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,1.,73.84
